jump_n_m,sigma_neck_MPa,P_kN,elastic_def_um,def_Ls_um,damage,kappa
4.5308e-05,1.3426,16.1108,3.7932,49.1015,1.0000,4.5308e-05
4.5632e-05,1.3338,16.0056,3.7684,49.4003,1.0000,4.5632e-05
4.5955e-05,1.3250,15.9004,3.7437,49.6991,1.0000,4.5955e-05
4.6279e-05,1.3163,15.7952,3.7189,49.9980,1.0000,4.6279e-05
4.6603e-05,1.3075,15.6900,3.6941,50.2968,1.0000,4.6603e-05
4.6926e-05,1.2987,15.5848,3.6694,50.5956,1.0000,4.6926e-05
4.7250e-05,1.2900,15.4796,3.6446,50.8945,1.0000,4.7250e-05
4.7573e-05,1.2812,15.3744,3.6198,51.1933,1.0000,4.7573e-05
4.7897e-05,1.2724,15.2692,3.5950,51.4921,1.0000,4.7897e-05
4.8221e-05,1.2637,15.1640,3.5703,51.7910,1.0000,4.8221e-05
4.8544e-05,1.2549,15.0588,3.5455,52.0898,1.0000,4.8544e-05
4.8868e-05,1.2461,14.9536,3.5207,52.3886,1.0000,4.8868e-05
4.9191e-05,1.2374,14.8484,3.4960,52.6874,1.0000,4.9191e-05
4.9515e-05,1.2286,14.7432,3.4712,52.9863,1.0000,4.9515e-05
4.9839e-05,1.2198,14.6380,3.4464,53.2851,1.0000,4.9839e-05
5.0162e-05,1.2111,14.5328,3.4217,53.5839,1.0000,5.0162e-05
5.0486e-05,1.2023,14.4275,3.3969,53.8828,1.0000,5.0486e-05
5.0809e-05,1.1935,14.3223,3.3721,54.1816,1.0000,5.0809e-05
5.1133e-05,1.1848,14.2171,3.3473,54.4804,1.0000,5.1133e-05
5.1457e-05,1.1760,14.1119,3.3226,54.7793,1.0000,5.1457e-05
5.1780e-05,1.1672,14.0067,3.2978,55.0781,1.0000,5.1780e-05
5.2104e-05,1.1585,13.9015,3.2730,55.3769,1.0000,5.2104e-05
5.2428e-05,1.1497,13.7963,3.2483,55.6758,1.0000,5.2428e-05
5.2751e-05,1.1409,13.6911,3.2235,55.9746,1.0000,5.2751e-05
5.3075e-05,1.1322,13.5859,3.1987,56.2734,1.0000,5.3075e-05
5.3398e-05,1.1234,13.4807,3.1740,56.5723,1.0000,5.3398e-05
5.3722e-05,1.1146,13.3755,3.1492,56.8711,1.0000,5.3722e-05
5.4046e-05,1.1059,13.2703,3.1244,57.1699,1.0000,5.4046e-05
5.4369e-05,1.0971,13.1651,3.0996,57.4688,1.0000,5.4369e-05
5.4693e-05,1.0883,13.0599,3.0749,57.7676,1.0000,5.4693e-05
5.5016e-05,1.0796,12.9547,3.0501,58.0664,1.0000,5.5016e-05
5.5340e-05,1.0708,12.8495,3.0253,58.3653,1.0000,5.5340e-05
